"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4468","RT @NBATV: .@steve21smith is back with an all-new #NBAPlayoffs edition of Smitty's Top 5 Plays #UnderTheRim! 😬

#GameTime https://t.co/sfH6…",FALSE,0,NA,2018-05-18 02:41:35,FALSE,NA,"997306172557295617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deven_jacobs18",25,TRUE,FALSE,NA,NA
"4469","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:41:16,FALSE,NA,"997306095294173184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jtaylor_65",3241,TRUE,FALSE,NA,NA
"4470","@celtics in 5 #CelticsVsCavs #NBAPlayoffs https://t.co/76thWQeF0B",FALSE,0,"celtics",2018-05-18 02:41:11,FALSE,NA,"997306071252254720","18139461","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lemu_lemu_lemu",0,FALSE,FALSE,NA,NA
"4471","RT @nicht_kristian: I gotta be honest, I love that @celtics team. No special reason, wait no there is . I just don’t like the Cavs. #NBAPla…",FALSE,0,NA,2018-05-18 02:40:14,FALSE,NA,"997305832319709184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harrisonlaw03",1,TRUE,FALSE,NA,NA
"4472","RT @femaleatlhawk: No #Braves, no #NBAPlayoffs... https://t.co/LndMrgVjUq",FALSE,0,NA,2018-05-18 02:39:59,FALSE,NA,"997305771963625473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_j_a_n_i_e_",2,TRUE,FALSE,NA,NA
"4473","#Cavs and #Celtics fans and #NBA fans alike, who takes this series? #NBAPlayoffs",FALSE,0,NA,2018-05-18 02:39:33,FALSE,NA,"997305661363896320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M0CKaVELLI",0,FALSE,FALSE,NA,NA
"4474","@kawhileonard for @Suns No. 1 Pick! Would you @spurs ??? 

#NBADraftCombine #NBAPlayoffs #WhateverItTakes",FALSE,0,"kawhileonard",2018-05-18 02:39:06,FALSE,NA,"997305549019529216","2584213500","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","strifers14",1,FALSE,FALSE,NA,NA
"4475","RT @NBASummerLeague: Waiting for Saturday like...

#NBAPlayoffs ⏰👀 https://t.co/WVsLP9LyFC",FALSE,0,NA,2018-05-18 02:39:00,FALSE,NA,"997305521920098304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jpbalmes24",15,TRUE,FALSE,NA,NA
"4476","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:38:47,FALSE,NA,"997305467545309184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ManeGangInk",3241,TRUE,FALSE,NA,NA
"4477","RT @NBA: James Harden tallies 27 PTS, 10 REB to fuel the @HoustonRockets Game 2 win at home! 

#Rockets #NBAPlayoffs https://t.co/BncezpNoBD",FALSE,0,NA,2018-05-18 02:38:37,FALSE,NA,"997305426520756225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mr_FarRock",331,TRUE,FALSE,NA,NA
